latency_s,completion_tokens
0.591431104999856,4
0.5940878280000561,4
0.594778308000059,5
0.6009597439999652,4
0.5952171110000108,4
0.5955466120001347,4
0.5967501449999872,4
0.5974107539998386,4
0.5987603769999623,4
1.0671591629998147,5
0.5824165170001834,4
0.584601924000026,4
0.583047691000047,4
0.5885388950000561,10
0.584050925999918,4
0.5844750740000109,4
0.8986230090001754,5
0.899046978999877,4
0.8982044530000621,5
0.43076750899990657,5
0.528836401000035,4
0.5282575950000137,4
0.5286819089999426,4
0.5276834510000299,5
0.5283431049999763,4
0.5276312900000448,4
0.5870882389999679,4
0.37677956600009566,4
0.3801171439999962,4
0.3761773280000398,4
0.8035584130000188,10
0.5931111219999821,5
0.8045666219998111,10
0.8051276890000736,5
0.5925659470001392,10
0.5929669280001235,10
0.5296203360001073,4
0.5291691639999954,4
0.5323006200001146,4
0.5308835419998559,4
0.5338157549999778,4
0.5329703450001944,4
0.533385108000175,4
0.5341043630000968,4
0.5345872530001543,5
0.533876255999985,5
0.277757647000044,4
0.27861203400016166,4
0.31206768399988505,9
0.3287560709998161,10
